text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @trussliz: Good to meet Deputy PM @winstonpeters and Trade Minister @DavidParkerMP in Wellington.
We are seeking a comprehensive UKNZ FT…",FALSE,0,NA,2019-09-16T19:16:30Z,FALSE,NA,1173677054857842693,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,45,TRUE,FALSE,NA,NA
RT @PGFgovtnz: Thanks to everyone putting in the hard yards on the #Whakarewarewa Forest cycle loop! It will be a fantastic asset for the w…,FALSE,0,NA,2019-09-15T23:07:37Z,FALSE,NA,1173372827879129088,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,3,TRUE,FALSE,NA,NA
Pleasure to meet with the Australian Labor Party's Leader @AlboMP and Foreign Affairs Spokesperson @SenatorWong to… https://t.co/QlMOBTcn6k,FALSE,187,NA,2019-09-13T01:29:22Z,TRUE,NA,1172321339920617473,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",winstonpeters,26,FALSE,FALSE,NA,NA
The political train is definitely back on track. https://t.co/Dp3CvLRKcU,FALSE,205,NA,2019-09-12T23:34:17Z,FALSE,NA,1172292375562948608,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,16,FALSE,FALSE,NA,NA
RT @Mark_R_Ramsden: We’re officially open!! Thanks Parliamentary Undersecretary for Foreign Affairs @FletcherNZFirst for doing the honours:…,FALSE,0,NA,2019-09-12T15:39:55Z,FALSE,NA,1172173000663171072,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,3,TRUE,FALSE,NA,NA
Out walking the dog Beau. Both getting fit and enjoying the fresh air. https://t.co/5fgZ7oomYD,FALSE,162,NA,2019-09-10T21:07:53Z,FALSE,NA,1171530759565279233,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,19,FALSE,FALSE,NA,NA
Massive boost for the Northland region. Investing in the North Auckland rail line between Auckland and Whangarei is… https://t.co/W4eNORUV0A,FALSE,160,NA,2019-09-06T00:22:51Z,TRUE,NA,1169767885587173381,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,15,FALSE,FALSE,NA,NA
Very pleased to see NZF securing extension of free breast screening as part of coalition agreement which was announced today.,FALSE,104,NA,2019-09-01T00:35:13Z,FALSE,NA,1167959055756709891,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,11,FALSE,FALSE,NA,NA
https://t.co/HJyr3i7hJu,FALSE,162,NA,2019-08-29T05:53:39Z,FALSE,NA,1166952030138593280,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",winstonpeters,18,FALSE,FALSE,NA,NA
"RT @FletcherNZFirst: Speaking on behalf of the Minister of Foreign Affairs last night in Wellington, celebrating the milestone of 50 diplom…",FALSE,0,NA,2019-08-29T02:51:54Z,FALSE,NA,1166906291492544512,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,5,TRUE,FALSE,NA,NA
Once again National has thrown seniors under the bus with their announcement to increase super age to 67. Don’t for… https://t.co/rw4jxNbV1c,FALSE,226,NA,2019-08-26T22:16:32Z,TRUE,NA,1166112215977455616,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,32,FALSE,FALSE,NA,NA
"National’s “economic vision”?
➡️ No new policy - just repeal some existing ones. 
➡️ Regurgitate Bill English’s old… https://t.co/45E8eLWunD",FALSE,181,NA,2019-08-26T04:48:40Z,TRUE,NA,1165848514737229825,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,37,FALSE,FALSE,NA,NA
Tragic news for so many of us to learn that our great friend and colleague Pita Paraone passed away over night. Whe… https://t.co/qKhN0fGCHr,FALSE,158,NA,2019-08-26T03:04:54Z,TRUE,NA,1165822398412681217,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,7,FALSE,FALSE,NA,NA
After nine years of neglect under National it’s great to see the PGF bringing much needed investment to more of our… https://t.co/7Q7NSYNpfG,FALSE,64,NA,2019-08-25T18:55:10Z,TRUE,NA,1165699154305114112,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,11,FALSE,FALSE,NA,NA
"Paula Bennett sent me flowers in hospital. Seriously bad taste. Also, they looked like she just picked them from a… https://t.co/yP7800syNz",FALSE,979,NA,2019-08-22T03:07:00Z,TRUE,NA,1164373375659069440,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",winstonpeters,166,FALSE,FALSE,NA,NA
"It was a pleasure to last week join the Director General of the Multinational Force and Observers, Ambassador R. St… https://t.co/ZQOVrNY54X",FALSE,49,NA,2019-08-15T00:52:20Z,TRUE,NA,1161802771915390982,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",winstonpeters,6,FALSE,FALSE,NA,NA
"Paula Bennett shoots through from Waitakere to safety of Upper
Harbour and now decides she doesn’t want to stand fo… https://t.co/lxJblRjyTV",FALSE,192,NA,2019-08-14T06:05:04Z,TRUE,NA,1161519085651419136,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",winstonpeters,20,FALSE,FALSE,NA,NA
RT @MacphersonTaha: Deputy PM &amp; Foreign Minister @winstonpeters launched NZTE’s year-long ‘Taste of New Zealand’ campaign on Saturday. It s…,FALSE,0,NA,2019-08-05T09:03:48Z,FALSE,NA,1158302572492382208,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,5,TRUE,FALSE,NA,NA
A pleasure to host @EsperDoD in Auckland this evening. https://t.co/M95C4wrnl3,FALSE,40,NA,2019-08-05T08:48:47Z,FALSE,NA,1158298796859596802,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,4,FALSE,FALSE,NA,NA
"Saddened to hear of Sir Brian Lochore’s passing. A greatly respected coach and player, Sir Brian was a true New Zea… https://t.co/KDhpInFw6T",FALSE,134,NA,2019-08-03T23:29:09Z,TRUE,NA,1157795570695602182,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,8,FALSE,FALSE,NA,NA
"RT @MacphersonTaha: Valuable dialogue on #NZ #Thailand &amp; international issues, between NZ Deputy Prime Minister and Foreign Minister @winst…",FALSE,0,NA,2019-08-03T21:07:39Z,FALSE,NA,1157759962434531328,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,8,TRUE,FALSE,NA,NA
RT @BKingNZ: This afternoon #NewZealand Foreign Minister @winstonpeters participates in the ASEAN Regional Forum in #Bangkok. The #ARF brin…,FALSE,0,NA,2019-08-03T05:58:52Z,FALSE,NA,1157531257489592320,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",winstonpeters,8,TRUE,FALSE,NA,NA
RT @BKingNZ: #NewZealand Foreign Minister @winstonpeters today participates in discussion of key regional issues with counterparts from #AS…,FALSE,0,NA,2019-08-02T05:01:19Z,FALSE,NA,1157154386642030592,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",winstonpeters,10,TRUE,FALSE,NA,NA
RT @AdamKaznowski: Meeting w/ New Zealand Foreign Minister Winston Peters @winstonpeters reconfirmed the strong 🇪🇺🇳🇿 partnership &amp; discusse…,FALSE,0,NA,2019-08-02T03:08:48Z,FALSE,NA,1157126071965245440,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",winstonpeters,8,TRUE,FALSE,NA,NA
RT @MacphersonTaha: Great meeting today between #NewZealand Foreign Minister @winstonpeters and #UK counterpart @DominicRaab in #Bangkok. D…,FALSE,0,NA,2019-08-01T07:06:16Z,FALSE,NA,1156823444488507392,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,13,TRUE,FALSE,NA,NA
"RT @MFATgovtNZ: ""NZ has serious strategic and economic interests to pursue in Thailand this week.” 
FM @winstonpeters is in Thailand until…",FALSE,0,NA,2019-08-01T06:15:13Z,FALSE,NA,1156810595343065088,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",winstonpeters,14,TRUE,FALSE,NA,NA
